parameter,CF_X,CF_Y
a,2.32998310321728,2.4579771687442
c,0,0
d,0.0276194437032132,0.0282304340446061
r,1.6448125692576,1.98683959202659
span,0.520318475490112,0.520318475490112
rms,1.114728515625,1.114728515625
avg,0.721331044313298,0.721331044313298
